id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6
PCHAS_0703800	7732	4060	2033	8416	4560	4065	2533	2214	3005	1956	2633
PCHAS_0703900	104	76	17	105	61	19	3	7	9	6	3
PCHAS_0704000	4	2	1	9	2	0	1	2	0	1	0
PCHAS_0704100	336	243	118	424	247	162	109	86	147	78	120
PCHAS_0704200	950	687	177	1595	676	209	70	85	188	137	179
PCHAS_0704300	352	211	163	437	303	91	126	124	246	61	169
PCHAS_0704350	103	94	55	174	78	43	8	8	25	20	24
PCHAS_0704400	480	281	255	575	221	134	224	145	272	92	146
PCHAS_0704500	507	372	192	583	298	96	134	66	121	87	73
PCHAS_0704600	541	345	208	659	303	181	215	153	227	129	111
PCHAS_0704700	1534	1145	585	1917	870	896	901	731	842	560	657
PCHAS_0704800	2398	1698	1851	3437	1439	791	1046	656	1274	377	694
PCHAS_0704900	107	137	75	223	64	44	41	26	57	26	18
PCHAS_0705000	4356	1760	1226	4920	3785	3543	1679	1462	1984	2296	2141
PCHAS_0705100	6780	3970	2692	8170	3961	4374	4869	3421	4707	2174	3217
PCHAS_0705200	79	45	25	70	32	52	25	30	43	17	27
PCHAS_0705300	4388	3060	1484	4929	2463	2377	1371	1251	1606	1240	1610
PCHAS_0705400	316	215	66	439	221	81	95	78	87	86	67
PCHAS_0705500	828	766	333	1074	463	427	413	286	434	204	295
PCHAS_0705600	1949	1150	561	1971	859	789	681	606	711	438	536
PCHAS_0705700	2612	2007	974	2850	1183	677	707	550	819	409	508
PCHAS_0705800	140	84	50	214	97	34	14	11	50	21	23
PCHAS_0706000	285	156	101	362	192	105	64	59	112	42	110
PCHAS_0706100	341	391	164	551	216	103	157	121	218	66	81
PCHAS_0706200	7337	7523	3948	10891	4307	3602	3745	2622	3895	1790	2689
PCHAS_0706300	322	268	191	354	192	160	159	102	158	79	87
PCHAS_0706400	2942	1940	1350	3361	1669	1771	1654	1192	1644	949	1182
PCHAS_0706500	159	88	24	240	74	28	9	21	14	17	10
